favourite_count, up_count, category, comment_count, following_count, favourites_count, followers_count, subscribe_count, videos_count, vv_count, Popularity_rank
0,2,1,1,5,1,6,6,105,5413,2
0,1,2,0,12,1,1673,1673,573,2003523,2
0,551,3,317,30,4,404144,404144,1683,169063790,3
0,0,4,0,0,0,0,0,0,8,1
0,0,5,0,0,0,0,0,3,40,1
0,0,6,0,0,0,0,0,1,4,1
0,1,7,0,2,1,2,2,108,7474,2
0,12,2,15,242,6,5857,5857,107,16045170,3
0,0,8,0,0,0,0,0,0,387,2
0,0,6,0,0,0,0,0,1,0,1
0,0,9,0,0,0,2,2,30,1713,2
0,0,10,0,0,0,0,0,2,87,1
0,0,1,0,0,1,1,1,36,1379,1
0,0,11,0,2,0,1,1,1,93,2
0,0,1,0,1,0,3,3,19,599,1
0,0,2,0,13,0,14,14,117,15525,2
0,0,12,4,279,24,44,44,101,1744,1
0,0,13,0,0,0,0,0,2,274,1
0,2,11,1,4,12,18959,18959,17233,17201363,2
0,45,14,114,1,0,882,882,4,56767,3
0,0,10,0,0,1,0,0,2,251,2
0,0,6,0,6,0,0,0,4,274,1
0,0,15,0,0,0,0,0,7,536,1
0,11,8,0,15,2,44,44,69,172709,2
0,0,15,0,5,8,2,2,12,183,1
0,0,4,0,11,0,7,7,42,3007,1
0,1,10,13,2,0,3,3,5,7976,3
0,0,14,0,0,0,0,0,0,7,1
0,0,10,0,0,0,0,0,12,884,2
0,0,12,0,0,0,0,0,1,20,1
0,1,17,0,0,0,0,0,1,16,1
0,1,8,0,36,141,7,7,630,19390,2
0,0,18,0,9,0,33,33,219,6684,1
0,0,14,1,0,0,38,38,233,28956,2
0,0,5,0,5,0,7,7,89,3484,1
0,0,1,0,5,7,156,156,1113,442717,1
0,0,5,0,2,2,0,0,20,1072,1
0,0,10,0,5,12,3,3,11,1365,2
0,0,7,0,0,0,8,8,76,9356,2
0,0,12,0,21,4,1,1,16,158,1
0,1,6,0,8,31,5,5,460,11313,1
0,1,16,0,0,0,0,0,160,12466,1
0,1,17,0,1,0,2,2,26,615,1
0,5,11,0,1,0,24,24,67,58109,2
0,0,9,0,0,0,1,1,68,4069,1
0,0,4,0,0,5,0,0,6,635,1
0,0,4,0,0,0,0,0,1,166,2
0,0,10,0,3,0,0,0,10,464,1
0,3,2,1,40,11,1014,1014,153,1081350,2
0,0,13,0,0,0,0,0,3,10,1
0,0,9,0,0,0,0,0,1,11,1
0,0,17,0,36,2,47,47,142,3739,1
0,0,2,0,0,0,0,0,4,121,2
0,0,9,0,0,0,1,1,3,678,1
0,2,9,0,0,0,762,762,101,2223114,3
