0,1,2,0,12,1,1688,1688,574,2014846,2
0,5,18,2,0,0,3059,3059,1493,1665099,3
0,2,11,1,4,12,19091,19091,17352,17328422,2
0,57,11,3,58,4,12231,12231,658,45758503,3
0,0,14,1,0,0,39,39,236,29196,2
0,0,1,0,5,7,157,157,1123,446847,1
0,1,6,0,9,31,5,5,472,12013,1
0,5,2,4,40,11,1017,1017,154,1089302,2
0,0,9,0,0,0,24,24,184,23586,1
0,0,22,0,2,4,39,39,4,2449,1
0,0,18,0,2,0,5055,5055,79721,302878621,1
0,2,14,1,1,0,5661,5661,283,24162682,3
0,0,1,0,0,0,47,47,231,73534,1
0,2,2,1,11,1,5093,5093,1661,1046457,2
0,0,10,0,22,8,14,14,119,7213,2
0,36,2,4,522,2,502,502,115,1100587,3
0,40,3,10,25,14,57908,57908,865,56621538,3
0,0,19,0,1,0,0,0,5,73,1
0,311,9,24,5,11,12381,12381,202,5887663,3
0,0,4,0,0,0,0,0,27,2961,1
0,1,16,0,0,0,0,0,165,12606,1
0,0,17,0,39,4,35,35,74,3224,1
0,5,3,4,5,1,10030,10030,863,5348315,3
0,31,7,3,0,0,1581,1581,116,2788514,3
0,6478,12,1114,0,0,130,130,121,1055852,3
0,3,3,5,22,2,8972,8972,983,6487275,3
0,0,18,0,2,0,428,428,1157,4261820,2
0,8,9,2,1,0,8880,8880,2270,38614062,2
0,0,10,0,2,0,377,377,20141,265654,2
0,1,3,0,4,0,1787,1787,1125,10755684,2
0,0,6,0,0,1,0,0,4,35,1
0,5,11,0,111,1,518,518,238,2342103,2
0,0,6,0,46,132,233,233,1030,1892610,1
0,0,14,0,0,0,2,2,44,3219,1
0,1,11,0,11,1,4563,4563,1142,13055242,3
0,0,11,0,0,1,12,12,181,22751,1
0,0,12,0,7,3,0,0,1481,45290,1
0,13,8,4,7,17,9496,9496,146,1409395,2
0,0,17,0,14,33,14,14,76,211671,1
0,29,3,9,9,2,4917,4917,142,928306,3
0,0,13,0,0,0,1,1,16,1750,1
0,3,8,0,0,0,10,10,208,205892,2
0,0,16,0,110,0,624,624,986,10268331,2
0,66,3,57,6,1,27046,27046,1440,54781509,3
0,0,16,0,134,565,145,145,27,839,1
0,1,16,0,32,127,115,115,470,166205,1
0,1,7,1,158,0,97,97,204,17267,2
0,140,3,96,28,11,80263,80263,589,22917932,3
0,1,20,0,103,8,88,88,433,32788,1
0,0,15,0,17,34,365,365,664,2689270,1
0,0,13,0,0,0,0,0,7,88,1
0,0,21,0,0,0,0,0,9,308,1
0,32,11,1,20,7,763802,763802,44339,1662424274,3
0,0,14,0,1,0,7,7,10,5643,2
0,3,10,0,7,0,2,2,24,2356,1
0,0,16,0,101,2838,2190,2190,2997,37331045,1
0,6,20,8,12,2,877,877,34,250321,2
0,0,22,0,0,0,4,4,79,528,1
0,6,15,0,17,4,7,7,37,14145,3
0,8,2,14,82,55,808,808,239,73513,2
0,0,18,0,8376,12,1421,1421,89,6867,2
0,4,1,0,2,0,67,67,181,49255,2
0,2,2,2,19,1,50,50,49,267587,2
0,2,11,0,1,1,6,6,88,14155,2
0,27,8,8,2,4,11117,11117,700,4431629,3
0,2,2,0,3,0,87,87,590,568057,2
0,0,10,0,2,0,9,9,59,13140,2
0,15,3,6,26,5,11029,11029,2260,15346449,3
0,0,18,0,2,0,3610,3610,44568,136982505,1
0,4,8,5,1614,6343,6982,6982,2324,4918592,2
0,0,10,0,0,0,0,0,40,4434,2
0,1,17,2,16,1,20,20,48,1548,1
